ZoteroScannableCite	bibliographicCitation_cl
{ | Hennings, 1904 | | |zu:4723341:3DYFICBZ}	(Hennings 1904)
{ | Hennings, 1905 | | |zu:4723341:LML8RING}	(Hennings 1905)
{ | Heyden, 1899 | | |zu:4723341:YBRQ3H7Y}	(Heyden 1899)
{ | Himelbrant, et al., 2013 | | |zu:4723341:AKHHI3JU}	(Himelbrant et al. 2013)
{ | Himelbrant, et al., 2016 | | |zu:4723341:MX3WLVNB}	(Himelbrant et al. 2016b)
{ | Himelbrant, et al., 2016 | | |zu:4723341:SNTUS2R2}	(Himelbrant et al. 2016a)
{ | Himelbrant, et al., 2017 | | |zu:4723341:LVRWT76U}	(Himelbrant et al. 2017)
{ | Himelbrant, et al., 2018 | | |zu:4723341:26JNNFUT}	(Himelbrant et al. 2018)
{ | Himelbrant, et al., 2021 | | |zu:4723341:2MT376ZV}	(Himelbrant et al. 2021)
{ | Hjortstam, & Bononi, 1983 | | |zu:4723341:UPKI4EKJ}	(Hjortstam & Bononi 1983)
{ | Hjortstam, & Ryvarden, 1981 | | |zu:4723341:QIHJRAZM}	(Hjortstam & Ryvarden 1981)
{ | Hjortstam, & Ryvarden, 2005 | | |zu:4723341:6NKP93V6}	(Hjortstam & Ryvarden 2005)
{ | Isaeva, et al., 2015 | | |zu:4723341:AACNHIIH}	(Isaeva et al. 2015)
{ | Jaczewski, 1893 | | |zu:4723341:TRDRI62S}	(Jaczewski 1893)
{ | Jaczewski, 1896 | | |zu:4723341:8U7LP4JY}	(Jaczewski 1896)
{ | Jaczewski, 1898 | | |zu:4723341:ZZ6F55NN}	(Jaczewski 1898)
{ | Jülich, 1972 | | |zu:4723341:7Q2V8HMB}	(Jülich 1972)
{ | Kalinina, et al., 2020 | | |zu:4723341:4H66GC7H}	(Kalinina et al. 2020)
{ | Karadelev, et al., 2018 | | |zu:4723341:FKWM44KM}	(Karadelev et al. 2018)
{ | Karsten, 1866 | | |zu:4723341:MQL978N9}	(Karsten 1866)
{ | Karsten, 1876 | | |zu:4723341:WQ5HD7G6}	(Karsten 1876)
{ | Karsten, 1883 | | |zu:4723341:RQWMPVKP}	(Karsten 1883)
{ | Karsten, 1889 | | |zu:4723341:I2VVUGJU}	(Karsten 1889)
{ | Karsten, 1891 | | |zu:4723341:HFF894RJ}	(Karsten 1891)
{ | Karsten, 1892 | | |zu:4723341:G48JURMI}	(Karsten 1892b)
{ | Karsten, 1892 | | |zu:4723341:QXU3I758}	(Karsten 1892a)
{ | Karsten, 1894 | | |zu:4723341:K2FPBZTH}	(Karsten 1894)
{ | Karsten, 1899 | | |zu:4723341:IDUENMJ7}	(Karsten 1899)
{ | Karsten, 1904 | | |zu:4723341:834ZZD8Z}	(Karsten 1904)
{ | Kautmanová, et al., 2012 | | |zu:4723341:PBBZAC6I}	(Kautmanová et al. 2012)
{ | Khimich, & Borovichev, 2017 | | |zu:4723341:MITEXLTP}	(Khimich & Borovichev 2017)
{ | Khimich, & Zmitrovich, 2017 | | |zu:4723341:S76MCBEB}	(Khimich & Zmitrovich 2017)
{ | Khimich, et al., 2016 | | |zu:4723341:5H8REUMJ}	(Khimich et al. 2016a)
{ | Khimich, et al., 2017 | | |zu:4723341:8BEDMQHS}	(Khimich et al. 2017a)
{ | Khimich, et al., 2020 | | |zu:4723341:EPIAVLHT}	(Khimich et al. 2020)
{ | Killermann, 1943 | | |zu:4723341:RSUCUUFK}	(Killermann 1943)
{ | Kinnunen, & Niemelä, 2005 | | |zu:4723341:BBLIZWI5}	(Kinnunen & Niemelä 2005)
{ | Kochergina, & Furmenkova, 2019 | | |zu:4723341:UTGRJT9A}	(Kochergina & Furmenkova 2019)
{ | Korhonen, et al., 1997 | | |zu:4723341:52ZKMAVR}	(Korhonen et al. 1997)
{ | Korhonen, et al., 2018 | | |zu:4723341:8ATBSEKN}	(Korhonen et al. 2018)
{ | Kotiranta, & Saarenoksa, 2005 | | |zu:4723341:DC2MANV3}	(Kotiranta & Saarenoksa 2005)
{ | Kotiranta, et al., 2005 | | |zu:4723341:45KHF5R3}	(Kotiranta et al. 2005)
{ | Kotiranta, et al., 2007 | | |zu:4723341:LK6V6BMB}	(Kotiranta et al. 2007)
{ | Kotkova, et al., 2021 | | |zu:4723341:FFP46BCU}	(Kotkova et al. 2021)
{ | Kotlaba, & Pouzar, 1964 | | |zu:4723341:R7N3I526}	(Kotlaba & Pouzar 1964)
{ | Kout, et al., 2014 | | |zu:4723341:B6QZ8EDJ}	(Kout et al. 2014)
{ | Kreisel, 1963 | | |zu:4723341:PQKTP35V}	(Kreisel 1963)
{ | Kuznetsova, et al., 2007 | | |zu:4723341:ELDQ6NLB}	(Kuznetsova et al. 2007)
{ | Kuznetsova, et al., 2016 | | |zu:4723341:IQ52ZGES}	(Kuznetsova et al. 2016)
{ | Kõljalg, 1996 | | |zu:4723341:U9264Y7D}	(Kõljalg 1996)
{ | Larsen, 1968 | | |zu:4723341:45S7SIH3}	(Larsen 1968)
{ | Larsen, 1974 | | |zu:4723341:WJD5GXVU}	(Larsen 1974)
{ | Larsson, & Larsson, 1998 | | |zu:4723341:UC7YJ8UH}	(Larsson & Larsson 1998)
{ | Larsson, 1996 | | |zu:4723341:84UH85XN}	(Larsson 1996)
{ | Laurila, 1939 | | |zu:4723341:CHEZIYC4}	(Laurila 1939)
{ | Liberta, 1973 | | |zu:4723341:X2NZHGTU}	(Liberta 1973)
{ | Lindgren, et al., 2015 | | |zu:4723341:BM7IU7N2}	(Lindgren et al. 2015)
{ | Lowe, 1956 | | |zu:4723341:CLS36L26}	(Lowe 1956)
{ | Malysheva, & Bulakh, 2014 | | |zu:4723341:LAS2WGQK}	(Malysheva & Bulakh 2014)
{ | Malysheva, & Spirin, 2017 | | |zu:4723341:VYRVCCEV}	(Malysheva & Spirin 2017)
{ | Malysheva, 2006 | | |zu:4723341:N8LNFLYX}	(Malysheva 2006a)
{ | Malysheva, 2010 | | |zu:4723341:X2H4K58J}	(Malysheva 2010)
{ | Malysheva, et al., 2015 | | |zu:4723341:2CEX5RNT}	(Malysheva et al. 2015)
{ | Malysheva, et al., 2018 | | |zu:4723341:B3U8ECHX}	(Malysheva et al. 2018a)
