ZoteroScannableCite
{ | Ежов, 2016 | | |zu:4723341:83YX5IA9}
{ | Ежов, 2020 | | |zu:4723341:XG2HMP9E}
{ | Ежов, et al., 2008 | | |zu:4723341:R64GTHIC}
{ | Ежов, et al., 2010 | | |zu:4723341:MKKK5KPG}
{ | Ежов, et al., 2011 | | |zu:4723341:MDYSMBQP}
{ | Ежов, et al., 2012 | | |zu:4723341:NTQRD7KQ}
{ | Ежов, et al., 2014 | | |zu:4723341:EFRUETZA}
{ | Ежов, et al., 2014 | | |zu:4723341:RJYUSFU8}
{ | Ежов, et al., 2015 | | |zu:4723341:75LLZ42B}
{ | Ежов, et al., 2016 | | |zu:4723341:EKFL6XHN}
{ | Ежов, et al., 2017 | | |zu:4723341:QFJP6SKK}
{ | Ежов, et al., 2019 | | |zu:4723341:YW9Z7ZT3}
{ | Еленев, 1904 | | |zu:4723341:5LI59G2M}
{ | Еленевский, 2002 | | |zu:4723341:6V3UVG9B}
{ | Ершов, & Ежов, 2009 | | |zu:4723341:22ZFWHSA}
{ | Жукова, et al., 2017 | | |zu:4723341:XTZ24PQT}
{ | Журбенко, & Гудовичева, 2013 | | |zu:4723341:SLZDN9MJ}
{ | Заводовский, 2012 | | |zu:4723341:79ELI4SJ}
{ | Заводовский, 2015 | | |zu:4723341:QKK4RE5J}
{ | Зингер, 1938 | | |zu:4723341:RPCDSSDB}
{ | Змитрович, & Васильев, 2006 | | |zu:4723341:5SUPGDNS}
{ | Змитрович, & Спирин, 2002 | | |zu:4723341:H35NQ5D9}
{ | Змитрович, & Спирин, 2002 | | |zu:4723341:JFVNPNDA}
{ | Змитрович, & Спирин, 2004 | | |zu:4723341:22EXNW5E}
{ | Змитрович, 1997 | | |zu:4723341:JFG9IU7X}
{ | Змитрович, 1999 | | |zu:4723341:4KHABMYJ}
{ | Змитрович, 1999 | | |zu:4723341:BLFSX7YB}
{ | Змитрович, 2001 | | |zu:4723341:7Z8FBZGC}
{ | Змитрович, 2002 | | |zu:4723341:2V3HID6U}
{ | Змитрович, 2004 | | |zu:4723341:272NQI8W}
{ | Змитрович, 2008 | | |zu:4723341:EGVC6S5R}
{ | Змитрович, et al., 2004 | | |zu:4723341:KXR3UE7E}
{ | Змитрович, et al., 2005 | | |zu:4723341:UD4XBHWM}
{ | Змитрович, et al., 2008 | | |zu:4723341:BZXPWMUD}
{ | Змитрович, et al., 2008 | | |zu:4723341:WJP6B92U}
{ | Змитрович, et al., 2015 | | |zu:4723341:J9XLELL8}
{ | Змитрович, et al., 2017 | | |zu:4723341:SZXH2SK6}
{ | Золотухин, 2002 | | |zu:4723341:MCV4VXLB}
{ | Иванов, 1981 | | |zu:4723341:L8VVGNX7}
{ | Иванов, 1982 | | |zu:4723341:KJKNUG2P}
{ | Иванов, 1999 | | |zu:4723341:X85HKCKI}
{ | Иванов, 2001 | | |zu:4723341:823J6JI2}
{ | Иванов, 2013 | | |zu:4723341:J4HDZ4YT}
{ | Иванов, 2019 | | |zu:4723341:WMS3ASNG}
{ | Ивантер, & Кузнецов, 2007 | | |zu:4723341:2CG2N53K}
{ | Иванчев, & Казакова, 2011 | | |zu:4723341:LP2EQX38}
{ | Ивойлов, & Большаков, 2011 | | |zu:4723341:49P92T5J}
{ | Ивойлов, & Большаков, 2011 | | |zu:4723341:NM5RVNXL}
{ | Исаев, 2010 | | |zu:4723341:5DSJLTNL}
{ | Исаева, & Химич, 2015 | | |zu:4723341:R2V5X6CM}
{ | Исаева, et al., 2011 | | |zu:4723341:U5IZM3J5}
{ | Казакевич, et al., 1932 | | |zu:4723341:N855MM2S}
{ | Каламеэс, & Коваленко, 1984 | | |zu:4723341:58TD2VSE}
{ | Канищева, & Сергеев, 2018 | | |zu:4723341:KXTIGBVA}
{ | Капитонов, 2008 | | |zu:4723341:7H2UIAMU}
{ | Капитонов, 2013 | | |zu:4723341:48CPWUXP}
{ | Каракулин, & Лобик, 1915 | | |zu:4723341:372V3M45}
{ | Каратыгин, et al., 1999 | | |zu:4723341:H6F8WNN7}
{ | Карпова-Бенуа, 1931 | | |zu:4723341:6R35NMKR}
{ | Кириллов, & Лугинина, 2011 | | |zu:4723341:BEPGMMHE}
{ | Клюшникова, et al., 1970 | | |zu:4723341:7CYC8DXG}
{ | Коваленко, et al., 2003 | | |zu:4723341:RA6A96V9}
{ | Колганихина, 2018 | | |zu:4723341:5PCKSUHM}
{ | Колчанов, et al., 2017 | | |zu:4723341:XE2PMBCI}
{ | Комирная, 1952 | | |zu:4723341:5HLRU5UN}
{ | Комирная, et al., 1970 | | |zu:4723341:NWRML85Y}
{ | Конаков, et al., 2019 | | |zu:4723341:98S83V9M}
{ | Кондакова, 2020 | | |zu:4723341:BULQBYXK}
{ | Конечная, & Суслова, 2004 | | |zu:4723341:GDEBZ5DK}
{ | Конечная, et al., 2017 | | |zu:4723341:IT256QHW}
{ | Константинова, et al., 2014 | | |zu:4723341:QL84GXEW}
{ | Косолапов, & Дёгтева, 2011 | | |zu:4723341:EHXXEYIS}
{ | Косолапов, & Змитрович, 2006 | | |zu:4723341:3N5J6MVN}
{ | Косолапов, & Таскаев, 2005 | | |zu:4723341:39HPJSII}
{ | Косолапов, 2004 | | |zu:4723341:P3P6NZ7C}
{ | Косолапов, 2008 | | |zu:4723341:V8VMXGJ9}
{ | Косолапов, 2008 | | |zu:4723341:XV3KZ6IQ}
{ | Коткова (Лосицкая), & Руоколайнен, 2003 | | |zu:4723341:ZNYSRNN4}
{ | Коткова, & Бондарцева, 2006 | | |zu:4723341:RMRB3HUW}
{ | Коткова, & Желтухин, 2012 | | |zu:4723341:SDP9IXQG}
{ | Коткова, & Исаева, 2007 | | |zu:4723341:QX2RJDHV}
{ | Коткова, & Колганихина, 2019 | | |zu:4723341:77S73823}
{ | Коткова, & Крутов, 2009 | | |zu:4723341:KY4BALNS}
{ | Коткова, & Литвинова, 2012 | | |zu:4723341:4LEEMGTD}
{ | Коткова, & Нотов, 2018 | | |zu:4723341:C3XQ8CPW}
{ | Коткова, & Попов, 2013 | | |zu:4723341:AXZ8ZMPC}
{ | Коткова, & Стороженко, 2012 | | |zu:4723341:9PMJADGQ}
{ | Коткова, & Цвелев, 2007 | | |zu:4723341:9Y5WI8UG}
{ | Коткова, & Целищева, 2013 | | |zu:4723341:FMQEY2PU}
{ | Коткова, & Целищева, 2013 | | |zu:4723341:NHVDIP9S}
{ | Коткова, & Целищева, 2014 | | |zu:4723341:4XBEFFTK}
{ | Коткова, & Целищева, 2015 | | |zu:4723341:86BEK8E8}
{ | Коткова, 2003 | | |zu:4723341:CNF7B72U}
{ | Коткова, 2004 | | |zu:4723341:9LV8UANS}
{ | Коткова, 2004 | | |zu:4723341:I2UXX2N8}
{ | Коткова, 2004 | | |zu:4723341:T952RJY7}
{ | Коткова, 2005 | | |zu:4723341:9GNYGQTP}
{ | Коткова, 2006 | | |zu:4723341:VXYCE6N2}
{ | Коткова, 2006 | | |zu:4723341:ZEZIR5RS}
{ | Коткова, 2007 | | |zu:4723341:8WI85IZC}
{ | Коткова, 2007 | | |zu:4723341:G2NP88IA}
{ | Коткова, 2008 | | |zu:4723341:T8LF9DSH}
{ | Коткова, 2008 | | |zu:4723341:UN9R2QDX}
{ | Коткова, 2009 | | |zu:4723341:DR7SIJ79}
{ | Коткова, 2009 | | |zu:4723341:PH42BNV4}
{ | Коткова, 2009 | | |zu:4723341:XWQII8NI}
{ | Коткова, 2010 | | |zu:4723341:ETDPU4S2}
{ | Коткова, 2010 | | |zu:4723341:RU5VZNQF}
{ | Коткова, 2011 | | |zu:4723341:75E997WR}
{ | Коткова, 2011 | | |zu:4723341:S4R26MJH}
{ | Коткова, 2011 | | |zu:4723341:TTR35DTA}
{ | Коткова, 2012 | | |zu:4723341:FHK3CSCV}
{ | Коткова, 2012 | | |zu:4723341:HQ427P6N}
{ | Коткова, 2012 | | |zu:4723341:VIUIHUUJ}
{ | Коткова, 2012 | | |zu:4723341:VNYR7D42}
{ | Коткова, 2012 | | |zu:4723341:VRUYRD34}
{ | Коткова, 2013 | | |zu:4723341:FDTKFXZR}
{ | Коткова, 2013 | | |zu:4723341:KN6PJK95}
{ | Коткова, 2013 | | |zu:4723341:UAJ6S6KS}
{ | Коткова, 2014 | | |zu:4723341:BBM5DVJT}
{ | Коткова, 2014 | | |zu:4723341:DYF8JT28}
{ | Коткова, 2014 | | |zu:4723341:SKWC8HPQ}
{ | Коткова, 2014 | | |zu:4723341:XND48DRL}
{ | Коткова, 2015 | | |zu:4723341:32SYTGL6}
{ | Коткова, 2015 | | |zu:4723341:FGRUZXRM}
{ | Коткова, 2016 | | |zu:4723341:BA9AXT5H}
{ | Коткова, 2016 | | |zu:4723341:EFECV8PR}
{ | Коткова, 2016 | | |zu:4723341:M4EM2H7I}
{ | Коткова, 2017 | | |zu:4723341:FVNR83FT}
{ | Коткова, 2018 | | |zu:4723341:J3CUZUEI}
{ | Коткова, 2019 | | |zu:4723341:CBYNLW82}
{ | Коткова, 2019 | | |zu:4723341:N23FVQWX}
{ | Коткова, 2020 | | |zu:4723341:9NMT7HLY}
{ | Коткова, 2021 | | |zu:4723341:EUKKZVYL}
{ | Коткова, et al., 2004 | | |zu:4723341:N6GKGHKX}
{ | Коткова, et al., 2005 | | |zu:4723341:4T9JV6VA}
{ | Коткова, et al., 2006 | | |zu:4723341:RA6QHCAX}
{ | Коткова, et al., 2006 | | |zu:4723341:VHXUKCMY}
{ | Коткова, et al., 2007 | | |zu:4723341:HVHALNL4}
{ | Коткова, et al., 2009 | | |zu:4723341:XLS65YTY}
{ | Коткова, et al., 2010 | | |zu:4723341:YNUV3E77}
{ | Коткова, et al., 2011 | | |zu:4723341:4SZLGD8J}
{ | Коткова, et al., 2011 | | |zu:4723341:NIZPMP4X}
{ | Коткова, et al., 2012 | | |zu:4723341:B5IMFMRP}
{ | Коткова, et al., 2013 | | |zu:4723341:ZXQYN3S9}
{ | Коткова, et al., 2015 | | |zu:4723341:J9XMZNSA}
{ | Коткова, et al., 2017 | | |zu:4723341:9ZD4IURH}
{ | Коткова, et al., 2018 | | |zu:4723341:A9UJX5Q2}
{ | Коткова, et al., 2020 | | |zu:4723341:DDLF56AH}
{ | Кравченко, et al., 2017 | | |zu:4723341:PYH38CE5}
{ | Кривошеева, & Симанков, 1969 | | |zu:4723341:8DDPF67Z}
{ | Кругликов, 2007 | | |zu:4723341:2Q2U8TLD}
{ | Крутов, & Руоколайнен, 2008 | | |zu:4723341:ZFNQNLZT}
{ | Крутов, & Руоколайнен, 2010 | | |zu:4723341:Y5DMAIPU}
{ | Крутов, et al., 2004 | | |zu:4723341:JAECNGSN}
{ | Крутов, et al., 2014 | | |zu:4723341:6H54ZWJ9}
{ | Кузнецов, & Ремезов, 1960 | | |zu:4723341:C5IC3PRX}
{ | Кузнецов, 2020 | | |zu:4723341:UVW5GHCS}
{ | Курагина, & Мухин, 2015 | | |zu:4723341:PEC6SVKZ}
{ | Курагина, 2013 | | |zu:4723341:5KYJ8QAW}
{ | Курагина, 2014 | | |zu:4723341:CHLML34P}
{ | Курагина, 2014 | | |zu:4723341:ZAQ7ADC8}
{ | Курагина, et al., 2018 | | |zu:4723341:XWP5R6WN}
{ | Курочкин, & Коткова, 2011 | | |zu:4723341:UWBKXP5M}
{ | Курочкин, & Медведев, 2015 | | |zu:4723341:BI2GSMEH}
{ | Курочкин, 2016 | | |zu:4723341:RQL25MQS}
{ | Кутова, & Новиков, 1957 | | |zu:4723341:DIL8KU59}
{ | Кычанова, 1972 | | |zu:4723341:B7GYJ7G6}
{ | Лазарева, 1997 | | |zu:4723341:DWBXGSRZ}
{ | Лазарева, 1998 | | |zu:4723341:D5LRWPWU}
{ | Лебедева, 1933 | | |zu:4723341:DNMZ3Q7K}
{ | Левицкая, 1995 | | |zu:4723341:3QSHMH4H}
{ | Лобик, 1914 | | |zu:4723341:IAHQB9WS}
{ | Лосицкая, 1997 | | |zu:4723341:IMZQ2DNL}
{ | Лосицкая, 1998 | | |zu:4723341:QT5CF8GJ}
{ | Лосицкая, 1999 | | |zu:4723341:3L9VZH7R}
{ | Лосицкая, 2000 | | |zu:4723341:8HTPUXU4}
{ | Лосицкая, 2000 | | |zu:4723341:EPH7ZPFK}
{ | Лосицкая, 2002 | | |zu:4723341:5UTNUGP5}
{ | Лосицкая, et al., 1999 | | |zu:4723341:YTMP89KP}
{ | Маленкова, & Сафонов, 2016 | | |zu:4723341:8JBG89BE}
{ | Малышева, & Акулов, 2012 | | |zu:4723341:EEHHMK7I}
{ | Малышева, & Малышева, 2004 | | |zu:4723341:QNTZKJUN}
{ | Малышева, & Малышева, 2005 | | |zu:4723341:UAXIMP3H}
{ | Малышева, & Малышева, 2006 | | |zu:4723341:7TKZSCAD}
{ | Малышева, & Малышева, 2007 | | |zu:4723341:6YH5FLVF}
{ | Малышева, & Малышева, 2008 | | |zu:4723341:C5UXP8YZ}
{ | Малышева, & Федосова, 2012 | | |zu:4723341:YNKUDQPQ}
{ | Малышева, 2001 | | |zu:4723341:QUSDPY4E}
{ | Малышева, 2002 | | |zu:4723341:BPTN4B4U}
{ | Малышева, 2005 | | |zu:4723341:UXSB34C4}
{ | Малышева, 2006 | | |zu:4723341:Q68ZZYIT}
{ | Малышева, 2012 | | |zu:4723341:VAMRYP7D}
{ | Малышева, 2013 | | |zu:4723341:SKKNVWKA}
{ | Малышева, et al., 2006 | | |zu:4723341:GBCETGG3}
{ | Малышева, et al., 2007 | | |zu:4723341:G4GMDETF}
{ | Малышева, et al., 2014 | | |zu:4723341:PTKZ6GR7}
{ | Малышева, et al., 2017 | | |zu:4723341:CZ2PCCWB}
{ | Малышева, et al., 2018 | | |zu:4723341:8Y7M57CR}
{ | Марков, & Горчаковский, 1990 | | |zu:4723341:QDKV2AQE}
{ | Мартыненко, 2021 | | |zu:4723341:58BYRHAF}
{ | Марфин, & Димитриев, 2001 | | |zu:4723341:XEBIQEQU}
{ | Матвеева, 2006 | | |zu:4723341:C5CWKNSG}
{ | Матвеева, 2020 | | |zu:4723341:8EE66WN6}
{ | Миркин, 2011 | | |zu:4723341:L5UQQSKV}
{ | Мишулин, et al., 2017 | | |zu:4723341:G4FSUF2H}
{ | Мишулин, et al., 2018 | | |zu:4723341:9MMUUPX6}
{ | Мишулин, et al., 2018 | | |zu:4723341:BADH6ZLV}
{ | Мишулин, et al., 2019 | | |zu:4723341:YDRPRHUK}
{ | Морозова, & Цвелев, 2007 | | |zu:4723341:QAD37CCG}
{ | Морозова, et al., 2008 | | |zu:4723341:Z3JJEMCA}
{ | Морозова, et al., 2014 | | |zu:4723341:38KD64TJ}
{ | Морочковський, 1948 | | |zu:4723341:I5Z6X8NB}
{ | Мосолов, 1906 | | |zu:4723341:3LQSFVES}
{ | Мурашкинский, & Кулешов, 1940 | | |zu:4723341:ZJJT7M55}
{ | Мурашкинский, 1911 | | |zu:4723341:VWR3UZRS}
{ | Мучник, et al., 2009 | | |zu:4723341:JCI46W6V}
{ | Мучник, et al., 2020 | | |zu:4723341:AUJVCY5L}
{ | Назиров, et al., 2016 | | |zu:4723341:ZH7TWD28}
{ | Наумов, 1915 | | |zu:4723341:CVW3FSXS}
{ | Николаев, 1983 | | |zu:4723341:Z6UTRQGB}
{ | Николаев, 1986 | | |zu:4723341:F3MCVZLZ}
{ | Николаева, & Савич, 1940 | | |zu:4723341:37TJ33X9}
{ | Николаева, & Савич, 1950 | | |zu:4723341:3QGYTAI4}
{ | Николаева, & Савич, 1953 | | |zu:4723341:C77DCNY7}
{ | Николаева, & Савич, 1954 | | |zu:4723341:JCD9WNTA}
{ | Николаева, 1955 | | |zu:4723341:MNBFWEQY}
{ | Николаева, 1961 | | |zu:4723341:MBA9GVMI}
{ | Николаева, 1970 | | |zu:4723341:7QH2ARK3}
{ | Новиков, & Силаева, 2003 | | |zu:4723341:GQIWA98Y}
{ | Новоселов, 2008 | | |zu:4723341:JVMJVNIW}
{ | Носков, 2004 | | |zu:4723341:9ZY2FEKH}
{ | Нотов, & Гимельбрант, 2013 | | |zu:4723341:E3X2HNFA}
{ | Нотов, & Гимельбрант, 2017 | | |zu:4723341:BNSMSYKI}
{ | Нотов, et al., 2011 | | |zu:4723341:D7H5A8L3}
{ | Нянковский, 2015 | | |zu:4723341:KJU73SVL}
{ | Ордынец, et al., 2014 | | |zu:4723341:Q7IS4VUE}
{ | Орлов, et al., 2016 | | |zu:4723341:JPY4PAI2}
{ | Охапкин, 2005 | | |zu:4723341:VAN56YZF}
{ | Паламарчук, et al., 2019 | | |zu:4723341:DHRC9WGU}
{ | Пармасто, 1959 | | |zu:4723341:SJWGMBHV}
{ | Пармасто, 1962 | | |zu:4723341:3Q4PYJL4}
{ | Пармасто, 1963 | | |zu:4723341:IF2327TT}
{ | Пармасто, 1965 | | |zu:4723341:GSA3Q29Z}
{ | Пармасто, 1967 | | |zu:4723341:PB46EBIM}
{ | Пармасто, 1970 | | |zu:4723341:UXUMMY9W}
{ | Пармасто, 1973 | | |zu:4723341:SF3GSSG6}
{ | Переведенцев, & Селиванов, 1985 | | |zu:4723341:WKM28CEU}
{ | Переведенцев, et al., 1980 | | |zu:4723341:VU3AMRFL}
{ | Переведенцев, et al., 1981 | | |zu:4723341:GMRUDEQS}
{ | Переведенцев, et al., 1983 | | |zu:4723341:VV3Y4TA8}
{ | Петров, 1910 | | |zu:4723341:GUEB6KAV}
{ | Петров, 1911 | | |zu:4723341:9VAMAT6Y}
{ | Пилипенко, et al., 2014 | | |zu:4723341:FWMLDIEW}
{ | Пипенко, 2012 | | |zu:4723341:CQLEI49N}
{ | Попов, & Волобуев, 2014 | | |zu:4723341:HS3DQK66}
{ | Попов, & Коткова, 2012 | | |zu:4723341:SIID63NX}
{ | Попов, 2001 | | |zu:4723341:F4AZT7NS}
{ | Попов, et al., 2012 | | |zu:4723341:M8JVL3NL}
{ | Попов, et al., 2013 | | |zu:4723341:8NCWYD2L}
{ | Потапов, & Лукьянова, 2015 | | |zu:4723341:YZRFFPPP}
{ | Потапов, 2016 | | |zu:4723341:2AIGB9KS}
{ | Потапов, 2016 | | |zu:4723341:QZMSJMP6}
{ | Потапов, et al., 2013 | | |zu:4723341:WWUQ23PI}
{ | Предтеченская, & Руоколайнен, 2013 | | |zu:4723341:EFP8VZSL}
{ | Предтеченская, et al., 2008 | | |zu:4723341:8VWQTUP5}
{ | Предтеченская, et al., 2014 | | |zu:4723341:VSFALDEH}
{ | Прейкша, et al., 2012 | | |zu:4723341:E6CGAAEN}
{ | Пригоряну, 2007 | | |zu:4723341:FY5YMCC7}
{ | Присный, 2005 | | |zu:4723341:PTBVL777}
{ | Присный, 2019 | | |zu:4723341:YJD3EXXW}
{ | Прохоров, & Глотов, 2007 | | |zu:4723341:7GPVQKQQ}
{ | Псурцева, et al., 2003 | | |zu:4723341:XY23UBLG}
{ | Пыстина, et al., 1969 | | |zu:4723341:YZ63RHHB}
{ | Райтвийр, 1963 | | |zu:4723341:3P9LSMHS}
{ | Райтвийр, 1967 | | |zu:4723341:9Z84KCV3}
{ | Ребриев, & Бердников, 2018 | | |zu:4723341:2ZARJARX}
{ | Ребриев, et al., 2010 | | |zu:4723341:GTCYUXCC}
{ | Ребриев, et al., 2012 | | |zu:4723341:BUNKPZLT}
{ | Ребриев, et al., 2012 | | |zu:4723341:MUWWX2GD}
{ | Розенберг, & Саксонов, 2007 | | |zu:4723341:TDVK3E54}
{ | Ртищева, 1999 | | |zu:4723341:B8ESYAW2}
{ | Руоколайнен, & Громцев, 2013 | | |zu:4723341:M8HYFR9I}
{ | Руоколайнен, & Дьяков, 2008 | | |zu:4723341:GULBICZ5}
{ | Руоколайнен, & Коткова, 2004 | | |zu:4723341:3DM3AKKM}
{ | Руоколайнен, & Коткова, 2014 | | |zu:4723341:Y9ZQ77XM}
{ | Руоколайнен, & Коткова, 2015 | | |zu:4723341:TWZH5E5F}
{ | Руоколайнен, & Коткова, 2016 | | |zu:4723341:KQK5JCSB}
{ | Руоколайнен, & Коткова, 2016 | | |zu:4723341:NNAY62M4}
{ | Руоколайнен, & Коткова, 2017 | | |zu:4723341:48R5RLVD}
{ | Руоколайнен, & Коткова, 2018 | | |zu:4723341:WF9YZ639}
{ | Руоколайнен, & Коткова, 2019 | | |zu:4723341:X9G2WXVW}
{ | Руоколайнен, & Коткова, 2021 | | |zu:4723341:QFY4PE78}
{ | Руоколайнен, & Предтеченская, 2009 | | |zu:4723341:MMLMT6SM}
{ | Руоколайнен, & Предтеченская, 2021 | | |zu:4723341:PPJHFFSX}
{ | Руоколайнен, & Ширяев, 2020 | | |zu:4723341:HGP335U9}
{ | Руоколайнен, 2003 | | |zu:4723341:MVMKWYMZ}
{ | Руоколайнен, et al., 2006 | | |zu:4723341:5FXSRFLK}
{ | Руоколайнен, et al., 2011 | | |zu:4723341:JZR9VGWY}
{ | Руоколайнен, et al., 2015 | | |zu:4723341:MVCS6YLA}
{ | Руоколайнен, et al., 2018 | | |zu:4723341:VHLRIZ2A}
{ | Руоколайнен, et al., 2020 | | |zu:4723341:H99KWINN}
{ | Русанов, et al., 2004 | | |zu:4723341:QLHPUWDU}
{ | Русанов, et al., 2018 | | |zu:4723341:2JIYBCSR}
{ | Рябова, et al., 1981 | | |zu:4723341:3XTWJGSC}
{ | Самойлов, & Морозова, 2011 | | |zu:4723341:IVPYVVJV}
{ | Сарычева, & Ртищева, 1999 | | |zu:4723341:D6ACEPSX}
{ | Сарычева, & Сарычев, 2014 | | |zu:4723341:N4AR5M49}
{ | Сарычева, & Сарычев, 2021 | | |zu:4723341:3F82952B}
{ | Сарычева, 2016 | | |zu:4723341:EEMLJ2MV}
{ | Сарычева, et al., 2009 | | |zu:4723341:ZSW2Z6BS}
{ | Сарычева, et al., 2017 | | |zu:4723341:5L96K8CL}
{ | Сафонов, & Васинович, 2016 | | |zu:4723341:TNDKPD4I}
{ | Сафонов, 1999 | | |zu:4723341:6EUJ7T9U}
{ | Сафонов, 2002 | | |zu:4723341:SK47BMX5}
{ | Сафонов, 2010 | | |zu:4723341:HHTI9E5F}
{ | Сафонов, 2015 | | |zu:4723341:JYRI29TB}
{ | Сафонов, 2015 | | |zu:4723341:ZJDQ9FKD}
{ | Сафонов, 2016 | | |zu:4723341:R5AZIIWP}
{ | Сафонов, et al., 2013 | | |zu:4723341:GQCULKZJ}
{ | Сафонов, et al., 2014 | | |zu:4723341:G4FSMIXH}
{ | Сафонов, et al., 2015 | | |zu:4723341:NS26T9X4}
{ | Сафонова, et al., 2013 | | |zu:4723341:GZWZ25XP}
{ | Светашева, & Фрезе, 2013 | | |zu:4723341:ZRB4IUQZ}
{ | Светашева, 2018 | | |zu:4723341:VJK7P58F}
{ | Светашева, 2021 | | |zu:4723341:TAZD84H6}
{ | Светашева, et al., 2017 | | |zu:4723341:EV3TSJ8B}
{ | Селочник, & Романовский, 2015 | | |zu:4723341:PQGG2KXY}
{ | Селочник, et al., 2004 | | |zu:4723341:NCF6VKU2}
{ | Сенатор, & Саксонов, 2017 | | |zu:4723341:26PV5NBK}
{ | Сербинов, 1914 | | |zu:4723341:32KVCXPE}
{ | Сидорова, & Великанов, 1998 | | |zu:4723341:5445UPQB}
{ | Силаева, 2017 | | |zu:4723341:2A3V3ATQ}
{ | Силаева, et al., 2015 | | |zu:4723341:8SMGFZD3}
{ | Силаева, et al., 2016 | | |zu:4723341:9TC4UXES}
{ | Сионова, 2003 | | |zu:4723341:BIQ4TIUJ}
{ | Сионова, 2003 | | |zu:4723341:VB9ARUMQ}
{ | Сионова, 2006 | | |zu:4723341:EEMGCG65}
{ | Сионова, et al., 2003 | | |zu:4723341:P9IV64FM}
{ | Сионова, et al., 2009 | | |zu:4723341:ESF2AH7E}
{ | Сиротина, et al., 2019 | | |zu:4723341:CLFTFA6R}
{ | Соколова, et al., 2006 | | |zu:4723341:RRI8U5IE}
{ | Соловьев, 1938 | | |zu:4723341:KQJV2GFN}
{ | Сорокин, 1872 | | |zu:4723341:IKKC6EMP}
{ | Сорокин, 2002 | | |zu:4723341:W85L7ZXD}
{ | Сорокина, et al., 2013 | | |zu:4723341:ZI82RQLX}
{ | Сорокина, et al., 2017 | | |zu:4723341:MFV84PFP}
{ | Сошнина, & Власов, 2006 | | |zu:4723341:5JJ3SN2X}
{ | Сошнина, & Власов, 2010 | | |zu:4723341:VKEDT2F9}
{ | Сошнина, & Золотухин, 1995 | | |zu:4723341:CDXXK4K4}
{ | Сошнина, & Золотухин, 2001 | | |zu:4723341:MF4WXYGP}
{ | Сошнина, & Золотухин, 2005 | | |zu:4723341:8DSE545N}
{ | Сошнина, & Малешин, 2000 | | |zu:4723341:2QS37RRK}
{ | Сошнина, & Рыжков, 2006 | | |zu:4723341:R9KDIYA8}
{ | Сошнина, & Рыжков, 2021 | | |zu:4723341:577P2I82}
{ | Сошнина, & Рыжков, 2021 | | |zu:4723341:VP8TBMKV}
{ | Спирин, & Ануфриев, 2001 | | |zu:4723341:CSM52A3P}
{ | Спирин, & Змитрович, 2004 | | |zu:4723341:G5YV9VNS}
{ | Спирин, & Змитрович, 2007 | | |zu:4723341:UYHAGZIJ}
{ | Спирин, & Малышева, 2006 | | |zu:4723341:U3X8NJRA}
{ | Спирин, & Широков, 2005 | | |zu:4723341:2JRYZ9SD}
{ | Спирин, 2002 | | |zu:4723341:BYMB6RNQ}
{ | Спирин, 2002 | | |zu:4723341:PQU96QZZ}
{ | Спирин, 2002 | | |zu:4723341:RTKF5X38}
{ | Спирин, 2003 | | |zu:4723341:4NTI7PSV}
{ | Спирин, 2003 | | |zu:4723341:JTMIK2UN}
{ | Спирин, 2004 | | |zu:4723341:DD3G26GU}
{ | Спирин, 2007 | | |zu:4723341:C6GT3E2U}
{ | Спирин, 2011 | | |zu:4723341:5HU25GTB}
{ | Спирин, et al., 2006 | | |zu:4723341:ANQ8CRFL}
{ | Ставишенко, & Веселовская, 2011 | | |zu:4723341:YU73C2F4}
{ | Ставишенко, & Лугинина, 2015 | | |zu:4723341:K5ZPZ57T}
{ | Ставишенко, 2018 | | |zu:4723341:YBYVERDU}
{ | Ставишенко, et al., 2019 | | |zu:4723341:JVY75HMJ}
{ | Степанова-Картавенко, 1967 | | |zu:4723341:5EN8V745}
{ | Степанова, 1975 | | |zu:4723341:CYZA47FK}
{ | Степанова, et al., 1977 | | |zu:4723341:87428HUJ}
{ | Стороженко, & Коткова, 2013 | | |zu:4723341:LE6MH25N}
{ | Стороженко, et al., 2014 | | |zu:4723341:L5ELXQNT}
{ | Стороженко, et al., 2018 | | |zu:4723341:SPGMMJQT}
{ | Суслова, et al., 2013 | | |zu:4723341:398XNXZ8}
{ | Таскаев, 2009 | | |zu:4723341:BRKUL5LT}
{ | Тихомирова, & Тобиас, 1994 | | |zu:4723341:M39E83CB}
{ | Тихомирова, et al., 2016 | | |zu:4723341:R5L7DZ7D}
{ | Травкин, et al., 2020 | | |zu:4723341:2V5V4B9M}
{ | Траншель, 1901 | | |zu:4723341:5W483KSH}
{ | Трусова, 1912 | | |zu:4723341:LVHT6LZQ}
{ | Трусова, 1913 | | |zu:4723341:D9K9VL5K}
{ | Тычинин, & Кузьмина, 2003 | | |zu:4723341:5ZV3M7B5}
{ | Урбанавичене, & Урбанавичюс, 2021 | | |zu:4723341:25BLXMCI}
{ | Урбанавичюс, & Урбанавичене, 2014 | | |zu:4723341:4QWHKG3W}
{ | Урбанавичюс, & Фадеева, 2018 | | |zu:4723341:VIGXSULV}
{ | Урбанавичюс, et al., 2007 | | |zu:4723341:P5ZFQYSX}
{ | Урбанавичюс, et al., 2008 | | |zu:4723341:XKPTPA2J}
{ | Ушакова, 2000 | | |zu:4723341:QZSWZHJ3}
{ | Фадеева, et al., 2007 | | |zu:4723341:NSMA7MVB}
